X,name
1,Aphrodite
2,Apollo
3,Ares
4,Artemis
5,Athena
6,Demeter
7,Dionysus
8,Hades
9,Helios
10,Hephaestus
11,Hera
12,Hermes
13,Hestia
14,Persephone
15,Poseidon
16,Selene
17,Zeus
19,Bacchus
20,Bellona
21,Ceres
22,Cupid
23,Diana
24,Faunus
25,Flora
26,Janus
27,Juno
28,Jupiter
29,Lares
30,Libintia
31,Maia
32,Mars
33,Mercury
34,Minerva
35,Mithras
36,Neptune
37,Ops
38,Pales
39,Pluto
40,Pomona
41,Proserpine
42,Saturn
43,Venus
44,Vertumnus
45,Vesta
46,Vulcan
47,Aesir
48,Andhrimnir
49,Angrboda
50,Astrild
51,Atla
52,Audhumla
53,Balder
54,Beyla
55,Borghild
56,Bragi
57,Brono
58,Bylgia
59,Dagur
60,Disen
61,Eir
62,Elli
63,Fenrir
64,Forseti
65,Freya
66,Freyr
67,Frigg
68,Gefion
69,Gerd
70,Heimdall
71,Hel
72,Hermod
73,Hod
74,Holler
75,Idun
76,Jord
77,Jormungand
78,Kari
79,Kvasir
80,Laga
81,Lofn
82,Loki
83,Magni
84,Mani
85,Miming
86,Mimir
87,Modi
88,Njord
89,Norns
90,Nott
91,Odin
92,Ran
93,Saga
94,Sif
95,Sjofn
96,Skadi
97,Sleipnir
98,Sol
99,Syn
100,Thor
101,Tyr
102,Ull
103,Vali
104,Valkyries
105,Vanir
106,Var
107,Vidar
108,Airmid
109,Artio
110,Balor
111,Branwen
112,Camalus
113,Cerunnos
114,Cyhiraeth
115,Druantia
116,Giobhniu
117,Lugh
118,Llyr
119,Maeve
120,Manannan
121,Margawse
122,Mebd
123,Mider
124,Morrigan
125,Nemain
126,Aine
127,Angus Og
128,Anu
129,Babd Catha
130,Bel
131,Bran
132,Brighid
133,Bris
134,Dagda
135,Danu
136,Diancecht
137,Flidais
138,Labraid
139,Macha
140,Niamh
141,Arawn
142,Arianrhod
143,Amaethon
144,Blodeuwedd
145,Cerridwen
146,Dewi
147,Don
148,Dylan
149,Elaine
150,Gwydion
151,Myrrdin
152,Aizen
153,Aji
154,Ama
155,Amaterasu
156,Amatsu
159,Ame
161,Amida
162,Am
163,Baku
164,Benten
165,Benzai
166,Bimbogami
167,Binzuru
168,Bishamon
169,Bosatsu
170,Butsu
171,Chien
172,Chimata
173,Chup
174,Daibosatsu
175,Daikoku
176,Dainichi
177,Dosojin
178,Dozoku
179,Ebisu
180,Ekibiogami
181,Emma
182,Fudo
183,Fujin
184,Fukurokuju
185,Funadama
186,Futsu
187,Gama
188,Gekka
189,Hachiman
190,Haniyasu
192,Haya
193,Hiruko
194,Hoso
195,Hotei
196,Ida
197,Ika
198,Iki
199,Inari
200,Isora
201,Izanagi
202,Izanami
203,Jinushigami
204,Jizo
205,Juichimen
206,Jurojin
207,Kagutsuchi
208,Kamado
209,Kami
210,Kaminari
211,Kanayama
213,Kawa
214,Kenro
215,Kishi
216,Kishijoten
217,Kishimo
218,Kojin
219,Ko
220,Koshin
221,Koya
222,Kukunochi
223,Kuni
224,Kura
225,Marisha
226,Mawaya
227,Miro
228,Miyazu
229,Monju
230,Musubi
231,Nai
232,Naka
233,Nikko
234,Ninigi
235,Nominosukune
236,Nyorai
237,Oanomochi
238,Ohonamochi
239,Oho
240,Okuni
241,Owatatsumi
242,Oyamatsumi
243,Raiden
244,Ryo
245,Sae
246,Sambo
247,Sarutahiko
248,Sengen
249,Shaka
250,Shichi
251,Shinda
252,Shine
253,Shoden
254,Shoki
255,Suijin
256,Suitengu
257,Sukuna
258,Susanowa
259,Takami
260,Takemikadzuchi
261,Taki
262,Tatsuta
263,Tenjin
264,Toyo
265,Toyouke
266,Tsuki
267,Uba
268,Uga
270,Ukemochi
271,Uzume
272,Wakahiru
273,Wata
274,Yabune
275,Yama
276,Yamato
277,Yuki
278,Akea
279,Apukohai
280,Haulili
281,Hai
282,Hiaka
283,Hiiakawawahilani
284,Hinakuluiau
285,Kalaipahoa
286,Kaluannuunohonionio
287,Kamapua
288,Kamohoali
289,Kamooalii
290,Kanaloa
291,Kane
293,Kapo
294,Keoahikamakaua
295,Kapohoikahiola
296,Keuakepo
297,Kiha
298,Koleamoku
299,Ku
300,Kuahana
301,Kukaoo
303,Kaupe
304,Kukailimoku
305,Kuula
306,Laamaomao
307,Laka
308,Lakakane
309,Lie
310,Lono
311,Lonomakua
312,Mahulu
313,Manua
314,Maui
315,Milu
316,Moaalii
317,Mokualii
318,Mooaleo
319,Ouli
320,Poliahu
321,Papa
322,Pele
323,Puea
324,Ukanipo
325,Ulaulekeahi
326,Uli
327,Belobog
328,Berstuk
329,Crnobog
330,Dazbog
331,Flins
332,Hors
333,Jarilo
334,Juthrbog
335,Karewit
336,Lada
337,Lado
338,Marowit
339,Perun
340,Podaga
341,Porewit
342,Radegast
343,Rod 
344,Siebog
345,Simargl
346,Stribog
347,Svarog
348,Svetovid
349,Triglav
350,Veles
351,Zirnitra
352,Nezha
353,Daluoxian
354,Jinhuan
355,Jinkang
356,Li
357,Luoche
358,Ne
359,Nezhataizi
360,No
361,Nuozha
362,Tailuoxian
363,Taizi
364,Taiziyeh
365,Yèuhuang
366,Zhongtan
367,Ch
368,Chu
369,Erh
370,Fu
371,Hou
372,Hsuan
373,I
374,Kue
375,Kuan
376,Lao
377,Lei
378,Lu
380,Tu
381,Chang
382,Hsi
384,Chuang
385,Feng
386,Hu
387,Kwan
388,Lo
389,Ma
390,Meng
391,Aaron
392,Abbey
393,Abbie
394,Abby
395,Abdul
396,Abe
397,Abel
398,Abigail
399,Abraham
400,Abram
401,Ada
402,Adah
403,Adalberto
404,Adaline
405,Adam
407,Adan
408,Addie
409,Adela
410,Adelaida
411,Adelaide
412,Adele
413,Adelia
414,Adelina
415,Adeline
416,Adell
417,Adella
418,Adelle
419,Adena
420,Adina
421,Adolfo
422,Adolph
423,Adria
424,Adrian
426,Adriana
427,Adriane
428,Adrianna
429,Adrianne
430,Adrien
431,Adriene
432,Adrienne
433,Afton
434,Agatha
435,Agnes
436,Agnus
437,Agripina
438,Agueda
439,Agustin
440,Agustina
441,Ahmad
442,Ahmed
443,Ai
444,Aida
445,Aide
446,Aiko
447,Aileen
448,Ailene
449,Aimee
450,Aisha
451,Aja
452,Akiko
453,Akilah
454,Al
455,Alaina
456,Alaine
457,Alan
458,Alana
459,Alane
460,Alanna
461,Alayna
462,Alba
463,Albert
465,Alberta
466,Albertha
467,Albertina
468,Albertine
469,Alberto
470,Albina
471,Alda
472,Alden
473,Aldo
474,Alease
475,Alec
476,Alecia
477,Aleen
478,Aleida
479,Aleisha
480,Alejandra
481,Alejandrina
482,Alejandro
483,Alena
484,Alene
485,Alesha
486,Aleshia
487,Alesia
488,Alessandra
489,Aleta
490,Aletha
491,Alethea
492,Alethia
493,Alex
495,Alexa
